symbol,out_strength,in_strength
A5G.IR,94.1577562899346,101.98169573515725
ABN.AS,94.0076282291733,92.97603898288669
ACA.PA,94.33889401420953,99.27136392958225
ALR.WA,93.43920661954704,92.19700152842425
BAER.SW,93.12141330203274,93.47135703998505
BAMI.MI,94.967265324287,126.04455075357846
BARC.L,95.24058110406865,133.14139835696443
BBVA.MC,95.25456368309652,126.92140192824704
BCGE.SW,76.93151125381804,12.368321567612973
BCP.LS,93.92063811758348,101.31866078091348
BCVN.SW,87.99808783245112,46.866926423364305
BIRG.IR,94.02073761014563,97.44588595254248
BKT.MC,95.19415229895796,127.3535753689515
BMED.MI,95.71600142249115,143.13608099837847
BMPS.MI,93.45717053603258,90.648888180841
BNP.PA,95.3590061109456,132.55001613989285
BPE.MI,94.39709114811131,115.93662361001942
BPSO.MI,95.11485082405473,125.30684104686735
BRD.RO,65.00881009535257,9.86502628530323
CABK.MC,95.24779315732854,126.44039663656658
CBG.L,58.6318879116173,10.928652239385109
CBK.DE,90.95034354591233,66.18050665646932
CMBN.SW,86.80405198180847,46.484868268507704
DANSKE.CO,94.81957404342955,115.53403997829245
DBK.DE,95.5061718299498,137.65168183340072
DNB.OL,91.66423835678447,74.19992681929463
EBS.VI,94.47487658850282,106.88841474691034
EFGN.SW,93.20824292658813,90.77984086264667
ETE.AT,89.99087574908253,56.862515882410534
EUROB.AT,92.71437176858876,83.27077210950665
FBK.MI,94.97036240613457,123.82375840143678
GLE.PA,94.63399688030152,117.35050530331884
HSBA.L,93.58044256011567,102.54634110326015
ING.WA,91.7735952488845,75.00544202475635
INGA.AS,95.3915222616874,127.41343591862942
INVP.L,91.28925365621248,73.59259673143512
ISP.MI,95.85811048687238,150.79675180095413
JYSK.CO,94.1675373005263,113.13333521555056
KBC.BR,95.21121245287962,128.51392352850377
KOMB.PR,92.0144758448441,64.88360337622122
LLOY.L,91.96574360719316,83.9533560231187
MB.MI,94.12556500947679,101.59961259627285
MBK.WA,94.48592268064363,108.7721249850417
MIL.WA,92.98249409908261,84.70155852486151
MING.OL,89.26282459316967,59.3891596936118
NDA-SE.ST,93.8378945095598,93.74346374109776
NONG.OL,88.24022473745916,56.574469500203215
NWG.L,93.63165442698082,95.18459894426472
OSB.L,89.28087455566059,57.63043881395502
PBB.DE,86.34442446530916,42.528533298073704
PEO.WA,94.21440975443049,107.24278081374449
PKO.WA,93.62735617950224,97.06036420760698
PTSB.IR,70.28601571226818,20.134585152585082
RBI.VI,94.04496494872446,103.66733910838373
SAB.MC,95.11549722179772,123.65417400240091
SAN.MC,95.66768972725482,141.08228203272793
SEB-A.ST,94.74350567521516,118.97625720458349
SHB-A.ST,90.02143417463404,56.29353664074747
SPL.WA,93.52671145664438,92.03769735071832
STAN.L,92.60036552349665,89.89699471222079
STB.L,66.90023091833221,21.1804823516805
SWED-A.ST,94.32109869477033,104.03904499708982
SYDB.CO,94.13771509124615,107.94789693931313
TLV.RO,83.0778536856387,32.481864803562054
TPEIR.AT,91.97433875491124,68.6231712375178
UBSG.SW,93.23032006838815,93.8144633469138
UCG.MI,95.53217103519133,148.5103283687023
VLK.AS,90.26945677564652,59.836706495177594
VONN.SW,88.71498880196495,59.07179972579108
